"sitio","estructura","est_arsat","tipo_edt","localidad","provincia","potencia_s","altura_snm","longitud","latitud"
"Puerto Deseado","FIJA","OPERATIVA","C","Puerto Deseado","Santa Cruz",0.5,40.9,-65.8735,-47.7427
"Puerto San Julián","FIJA","OPERATIVA","C","Puerto San Julián","Santa Cruz",0.5,40.9,-67.7453,-49.3118
"Ushuaia","FIJA","OPERATIVA","B","Ushuaia","Tierra del Fuego",1,71.2,-68.2219,-54.8011
"San Rafael","UTT","OPERATIVA","A","San Rafael","Mendoza",0.3,148.9,-68.266677,-34.629162
"Rawson/Trelew","FIJA","OPERATIVA","A","Rawson","Chubut",1,148.9,-65.1513,-43.2805
"Catamarca","UTT","OPERATIVA","B","San Fernando del Valle de Catamarca","Catamarca",0.3,19.5,-65.766111,-28.457212
"Chivilcoy","FIJA","OPERATIVA","C","Chivilcoy","Buenos Aires",0.5,40.9,-59.9908,-34.8554
"Pehuajó","UTT","OPERATIVA","B","Pehuajó","Buenos Aires",0.3,76.9,-61.88532721,-35.80706124
"Santa Fe","FIJA","FASE III","","Santa Fe","Santa Fe",0.3,33,-60.73704433,-31.6135965
"San Juan II","FIJA","FASE III","FIJA","San Juan","San Juan",0.3,33,-68.51675006,-31.50576302
"Villa María","FIJA","OPERATIVA","A","Villa María","Córdoba",1,150.75,-63.1925,-32.4654
"Añatuya","UTT","OPERATIVA","B","Añatuya","Santiago del Estero",0.3,76.9,-62.8431,-28.4551
"Santo Tomé - Corrientes","FIJA","OPERATIVA","A","Santo Tomé","Corrientes",1,145.5,-56.0419,-28.5865
"Ministerio de Obras Públicas","FIJA","OPERATIVA","Diferencial","Ciudad de Buenos Aires","Ciudad de Buenos Aires",5,155,-58.38146643,-34.61224207
"Río Tercero","FIJA","FASE III","B","Río Tercero","Córdoba",1,76.9,-64.1474,-32.1468
"Pico Truncado","FIJA","OPERATIVA","C","Pico Truncado","Santa Cruz",0.5,40.9,-67.9887,-46.8054
"Lago Puelo","FIJA","OPERATIVA","B","Lago Puelo","Chubut",1,46.9,-71.5833,-42.0516
"San Clemente del Tuyú","FIJA","OPERATIVA","A","San Clemente","Buenos Aires",1,148.9,-56.7453,-36.3792
"Villa Dolores","FIJA","OPERATIVA","A","Villa Dolores","Córdoba",1,149.2,-65.2346,-31.9789
"Caleta Olivia","FIJA","OPERATIVA","B","Caleta Olivia","Santa Cruz",1,70.9,-67.5144,-46.4579
"Mainque","FIJA","EN OBRA","A","Mainque","Río Negro",1,149.2,-67.2748,-39.0302
"San Antonio Oeste","FIJA","OPERATIVA","B","San Antonio Oeste","Río Negro",1,76.9,-64.9258,-40.707
"Viedma","FIJA","OPERATIVA","A","Viedma","Río Negro",1,95.2,-63.0523,-40.7934
"Bariloche","FIJA","OPERATIVA","B","San Carlos de Bariloche","Río Negro",1,72.75,-71.2763,-41.1342
"Chacabuco","FIJA","OPERATIVA","B","Chacabuco","Buenos Aires",0.3,76.9,-60.46583875,-34.58794039
"Río Gallegos","FIJA","OPERATIVA","B","Río Gallegos","Santa Cruz",1,42.75,-69.2317,-51.6701
"Río Cuarto","FIJA","OPERATIVA","","Río Cuarto","Córdoba",0.3,33,-64.38682675,-33.10647325
"Río Turbio","UTT","OPERATIVA","","Río Turbio","Santa Cruz",0.3,NA,-72.348056,-51.537017
