id	lat	lon	club	url
117	-36.785922	-59.871660	Tenis de Mesa Azul	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=117
118	-35.631205	-59.780643	Tenis de Mesa Saladillo	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=118
123	-34.625956	-58.522376	Ateneo Popular de Versailles	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=123
125	-34.902705	-56.186328	LTM	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=125
141	-34.521565	-58.740287	Centro de Entrenamiento-Escuela Tenis de Mesa M&E	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=141
146	-34.635239	-58.572445	Social 	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=146
148	-34.496467	-58.515590	BANADE (Banco Nacional de Desarrollo)	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=148
149	-34.647474	-59.422725	Atlético El Porvenir	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=149
152	-34.616997	-58.374438	La Mesita de Independencia	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=152
153	-38.019034	-57.571977	Ingeniero Acosta	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=153
154	-34.904848	-60.017192	Tenis de Mesa Chivilcoy	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=154
157	-34.701269	-58.586821	ADIMA (Atletas Discapacitados de Matanza)	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=157
158	-34.519591	-58.479823	Nikkei TDM - Sede Vicente Lopez	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=158
160	-34.527630	-58.550059	U.V.V.A.	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=160
161	-37.851691	-58.248247	Atlético Amigos Unidos	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=161
163	-34.614526	-58.418297	Nikkei TDM - Sede Almagro	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=163
164	-34.624776	-58.395795	La Legión Tenis de Mesa	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=164
166	-34.823923	-58.283927	La Patriada Tenis de Mesa	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=166
167	-34.914411	-57.971649	Asociacion Claridad	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=167
168	-34.575103	-58.490210	Círculo General Urquiza	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=168
170	-34.087863	-59.030567	Belgrano de Zarate	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=170
171	-34.806173	-58.637190	Refugio San Eugenio	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=171
172	-34.417232	-58.587180	Vito Dumas Tenis de Mesa	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=172
173	-34.615075	-58.463253	BAIRES	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=173
175	-34.954454	-57.974083	Círculo Campano TDM	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=175
176	-34.641769	-58.829985	La Reja, C.S.C.y D.	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=176
178	-34.601526	-58.481650	Villa Sahores	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=178
179	-34.617293	-58.406174	MTMs San Cristobal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=179
181	-34.599574	-58.461008	Sholem Buenos Aires	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=181
182	-34.629616	-58.568498	Union Gral. Armenia de Cultura Física	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=182
184	-34.634915	-58.421848	San Lorenzo de Almagro	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=184
186	-34.529206	-58.554839	Zenit Tenis de Mesa	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=186
187	-34.423287	-59.133526	Colonia Montes de Oca	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=187
188	-35.068098	-58.756752	Cañuelas Tenis de Mesa	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=188
190	-34.620485	-58.516424	Escuela Técnica 35 DE 18 Ing. Eduardo Latzina	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=190
191	-34.580970	-58.553821	Municipalidad de San Martín	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=191
192	-34.626704	-58.405079	Deportivo San Cristobal	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=192
193	-34.598944	-58.442159	Centro Hebreo IONÁ	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=193
194	-34.586917	-58.473888	Viejos Muchachos de Newels	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=194
196	-34.902348	-58.053679	Gorina Tenis de Mesa	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=196
198	-34.622812	-58.453496	Estación Ping Pong	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=198
199	-34.597745	-58.441335	Café San Bernardo	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=199
200	-34.417232	-58.587180	San Fernando Tenis de Mesa - Sede Tigre	http://www.tenisdemesaparatodos.com/clubes_ampliar.asp?codigo=200
