cueanexo	provincia	departamento	localidad	nombre	ambito	sector_de_gestion	primaria	p_lengua_debajo_basico	p_lengua_basico	p_lengua_satisfactorio	p_lengua_avanzado	lon	lat
020170000	Ciudad de Buenos Aires	Comuna 13	CIUDAD DE BUENOS AIRES	INSTITUTO PRIVADO COLEGIO MANUEL   BELGRANO	Urbano	Privado	1	2.704019709	2.703361155	21.92192172	72.67069741	-58.452	-34.5643
020170200	Ciudad de Buenos Aires	Comuna 7	CIUDAD DE BUENOS AIRES	INST. INMACULADA CONCEPCIÓN DE NUESTRA SRA. DE LOURDES	Urbano	Privado	1	0	8.261864079	32.55193428	59.18620164	-58.4549	-34.6261
020170300	Ciudad de Buenos Aires	Comuna 3	CIUDAD DE BUENOS AIRES	INSTITUTO TORATENU	Urbano	Privado	1	0	100	0	0	-58.4089	-34.6005
020170500	Ciudad de Buenos Aires	Comuna 10	CIUDAD DE BUENOS AIRES	INSTITUTO NTRA.SRA. DEL BUEN Y PERPETUO SOCORRO	Urbano	Privado	1	0	16.44582139	22.40771353	61.14646507	-58.5145	-34.6298
020170900	Ciudad de Buenos Aires	Comuna 12	CIUDAD DE BUENOS AIRES	INSTITUTO SAINT JEAN	Urbano	Privado	1	3.571428571	3.571428571	35.71428571	57.14285714	-58.4888	-34.5759
020171200	Ciudad de Buenos Aires	Comuna 2	CIUDAD DE BUENOS AIRES	JUAN LARREA	Urbano	Estatal	1	2.941176471	5.882352941	47.05882353	44.11764706	-58.4075	-34.5945
020171300	Ciudad de Buenos Aires	Comuna 3	CIUDAD DE BUENOS AIRES	DR. ARTURO MATEO BAS	Urbano	Estatal	1	5.102040763	12.09912539	41.18075809	41.61807576	-58.4113	-34.6003
020171900	Ciudad de Buenos Aires	Comuna 2	CIUDAD DE BUENOS AIRES	REPUBLICA ISLAMICA DE IRAN	Urbano	Estatal	1	5.698005529	6.096866114	58.51851896	29.6866094	-58.4153	-34.5968
020173600	Ciudad de Buenos Aires	Comuna 13	CIUDAD DE BUENOS AIRES	INSTITUTO LA ESCUELITA	Urbano	Privado	1	0	10	20	70	-58.445	-34.5762
020173900	Ciudad de Buenos Aires	Comuna 12	CIUDAD DE BUENOS AIRES	INSTITUTO HORIZONTES	Urbano	Privado	1	0	13.33333333	6.666666667	80	-58.4755	-34.5659
020175000	Ciudad de Buenos Aires	Comuna 12	CIUDAD DE BUENOS AIRES	INST. JUAN SANTOS GAYNOR	Urbano	Privado	1	0	0	16.66666667	83.33333333	-58.4696	-34.5731
020175100	Ciudad de Buenos Aires	Comuna 1	CIUDAD DE BUENOS AIRES	DEAN GREGORIO FUNES	Urbano	Estatal	1	0	33.33333333	38.88888889	27.77777778	-58.3714	-34.6247
020175300	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	INST. TIEMPO EDUCATIVO	Urbano	Privado	1	0	16	28	56	-58.3764	-34.637
020175600	Ciudad de Buenos Aires	Comuna 12	CIUDAD DE BUENOS AIRES	INSTITUTO R. P. HANSEN	Urbano	Privado	1	10	10	30	50	-58.4715	-34.5506
020175900	Ciudad de Buenos Aires	Comuna 10	CIUDAD DE BUENOS AIRES	INSTITUTO VALLE GRANDE	Urbano	Privado	1	0	0	50	50	-58.5101	-34.6196
020176400	Ciudad de Buenos Aires	Comuna 5	CIUDAD DE BUENOS AIRES	ESCUELA GENERACION DEL FUTURO	Urbano	Privado	1	0	0	58.33333333	41.66666667	-58.4198	-34.6247
020176900	Ciudad de Buenos Aires	Comuna 9	CIUDAD DE BUENOS AIRES	INSTITUTO GUSTAVO A. BECQUER	Urbano	Privado	1	0	14.28571429	21.42857143	64.28571429	-58.5095	-34.6564
020177801	Ciudad de Buenos Aires	Comuna 3	CIUDAD DE BUENOS AIRES	ENS N° 08 PTE. JULIO ARGENTINO ROCA DE 06	Urbano	Estatal	1	0	9.777063009	37.27539928	52.94753771	-58.4098	-34.6227
020178800	Ciudad de Buenos Aires	Comuna 4	CIUDAD DE BUENOS AIRES	GRAL. GREGORIO ARAOZ DE LAMADRID	Urbano	Estatal	1	24.59459485	36.75675681	35.22522486	3.423423477	-58.3594	-34.6374
020179200	Ciudad de Buenos Aires	Comuna 13	CIUDAD DE BUENOS AIRES	ESCUELA DEL JACARANDA	Urbano	Privado	1	0	3.040540427	31.41891915	65.54054043	-58.4617	-34.5492
020181100	Ciudad de Buenos Aires	Comuna 14	CIUDAD DE BUENOS AIRES	ESCUELA COMUNITARIA ARLENE FERN	Urbano	Privado	1	2.596153962	7.863247966	23.81410214	65.72649593	-58.4439	-34.5658
020181200	Ciudad de Buenos Aires	Comuna 15	CIUDAD DE BUENOS AIRES	INSTITUTO EDUCATIVO ALAS	Urbano	Privado	1	0	0	17.64705882	82.35294118	-58.4361	-34.6018
020182200	Ciudad de Buenos Aires	Comuna 11	CIUDAD DE BUENOS AIRES	HOGAR SAN RAFAEL	Urbano	Privado	1	6.688596581	13.37719316	32.12719272	47.80701753	-58.5226	-34.6139
020182300	Ciudad de Buenos Aires	Comuna 8	CIUDAD DE BUENOS AIRES	INST. TECNICO NUESTRA SEÑORA DE FATIMA	Urbano	Privado	1	1.692307645	8.593406553	58.52747239	31.18681341	-58.4475	-34.6593
